category,tv_id,name,first_air_date,original_language,genre_list,creator,certification_us,user_score_average,vote_count,popularity,overview
popular_tv,200875,Ça : Bienvenue à Derry,2025-10-26,en,Drame | Mystère,Andy Muschietti,TV-MA,8.014,332,418.5064,"Des événements étranges se déroulent dans la ville de Derry dans les années 1960 liés à Pennywise le clown, un personnage mystérieux qui hante Derry."
popular_tv,66732,Stranger Things,2016-07-15,en,Science-Fiction & Fantastique | Mystère | Action & Adventure,Ross Duffer,TV-14,8.594,18942,258.5451,"Quand un jeune garçon disparaît, une petite ville découvre une affaire mystérieuse, des expériences secrètes, des forces surnaturelles terrifiantes... et une fillette."
popular_tv,71912,The Witcher,2019-12-20,en,Science-Fiction & Fantastique | Drame | Action & Adventure,Lauren Schmidt Hissrich,TV-MA,7.98,6366,219.7225,"Le sorcier Geralt, un chasseur de monstres mutant, se bat pour trouver sa place dans un monde où les humains se révèlent souvent plus vicieux que les bêtes."
popular_tv,225171,Pluribus,2025-11-06,en,Drame | Science-Fiction & Fantastique,Vince Gilligan,TV-MA,8.9,55,199.0506,"Alors que le bonheur menace la Terre, tous les espoirs reposent sur le plus malheureux des humains."
popular_tv,1416,Grey's Anatomy,2005-03-27,en,Drame,Shonda Rhimes,TV-14,8.213,10682,160.5497,"Meredith Grey, fille d'un chirurgien très réputé, commence son internat de première année en médecine chirurgicale dans un hôpital de Seattle. La jeune femme s'efforce de maintenir de bonnes relations avec ses camarades internes, mais dans ce métier difficile la compétition fait rage."
popular_tv,2734,New York Unité Spéciale,1999-09-20,en,Crime | Drame | Mystère,Dick Wolf,TV-14,7.938,4047,170.1904,"Les inspecteurs qui font partie de la division des Crimes sexuels (SVU) du service de police de la ville de New York (NYPD) enquêtent sur des crimes de nature sexuelle. Alors que les autres émissions de la franchise de ""La loi et l'ordre"" se sont largement concentrées sur les cas de meurtres, les inspecteurs de la division des Crimes sexuels (SVU) ont souvent affaire à des crimes, tel le viol, auquel la victime survit et elle aide les autorités lors de l'enquête."
popular_tv,79744,The Rookie : Le Flic de Los Angeles,2018-10-16,en,Crime | Drame | Comédie,Alexi Hawley,TV-14,8.527,2747,138.108,"Lorsque sa femme le quitte et que son fils part à la fac, John Nolan, la quarantaine, est à un tournant de sa vie et décide de réaliser un vieux rêve : devenir flic ! Il part vivre à Los Angeles et se retrouve, malgré son âge, un bleu parmi les bleus..."
popular_tv,4614,NCIS : Enquêtes spéciales,2003-09-23,en,Crime | Drame | Action & Adventure,Don McGill,TV-14,7.624,2412,156.4058,"Le NCIS (Naval Criminal Investigative Service) est une agence fédérale civile rattachée à la Navy et aux Marines. Basée à Washington, elle enquête de façon indépendante sur les crimes liés aux forces navales américaines, et mène aussi des missions de contre-espionnage, de lutte antiterroriste et antidrogue. La MCRT (Major Case Response Team), dirigée d’abord par l’agent spécial Leroy Jethro Gibbs (saisons 1-19), puis par Alden Parker (depuis la saison 19), en est l’équipe principale d’enquête."
popular_tv,244557,Mahsun J,2024-01-26,tr,Comédie,Abdullah Özgenç,,7.8,15,127.7775,
popular_tv,250670,Maxton Hall – Le monde qui nous sépare,2024-05-09,de,Drame,,TV-MA,8.339,565,130.8993,"Lorsque Ruby découvre involontairement un secret explosif au sein du lycée privé Maxton Hall, l'héritier arrogant et millionnaire James Beaufort doit faire face à la boursière vive d'esprit, à son grand regret. Il est déterminé à réduire Ruby au silence. Contre toute attente, leur échange volcanique allume une étincelle..."
popular_tv,94954,Hazbin Hotel,2024-01-18,en,Animation | Comédie | Drame | Science-Fiction & Fantastique,Vivienne Medrano,TV-MA,8.659,1394,121.8432,"Charlie Morningstar, la Princesse de l'Enfer, lutte pour convaincre les démons et les anges que n'importe quelle âme peut être rachetée. Venez chanter devant cette comédie musicale animée pour adultes sur la rédemption."
popular_tv,153312,Tulsa King,2022-11-13,en,Crime | Drame | Comédie,Taylor Sheridan,TV-MA,8.317,2367,139.8559,"Dwight Manfredi, surnommé ""Le Général"", vient de sortir de prison où il a passé 25 ans. Cet ancien membre de la mafia new-yorkaise est cependant contraint de s'exiler à Tulsa dans l'Oklahoma. Il va y rassembler sa propre « famille » pour développer un empire criminel."
popular_tv,1622,Supernatural,2005-09-13,en,Drame | Mystère | Science-Fiction & Fantastique,Eric Kripke,TV-14,8.3,8059,134.5567,"Deux frères, Sam et Dean Winchester, chasseurs de créatures surnaturelles, sillonnent les États-Unis à bord d'une Chevrolet Impala noire de 1967 et enquêtent sur des phénomènes paranormaux (souvent issus du folklore, des superstitions, mythes et légendes urbaines américaines, mais aussi des monstres surnaturels tels que les fantômes, loups-garous, démons, vampires…)."
popular_tv,1405,Dexter,2006-10-01,en,Crime | Drame | Mystère,James Manos Jr.,TV-MA,8.223,5037,125.0603,"Brillant expert scientifique du service médico-légal de la police de Miami, Dexter Morgan est spécialisé dans l'analyse de prélèvements et d'éclaboussures de sang. Mais Dexter cache un terrible secret : c'est également un tueur en série ! Un serial killer pas comme les autres, avec sa propre vision de la justice, qui, grâce au code fourni par son père adoptif, ne s'en prend qu'à des personnes coupables de meurtres affreux ou de délits répréhensibles. Mais Dexter n'attend pas que la justice les libère ou les relâche, faute de preuves. Il les assassine, avant même que la police ne remonte jusqu'à eux et efface ses traces. Sa demi-sœur, Debra, travaille dans le même commissariat que lui et n'a de cesse de traquer tous les meurtriers, quels qu'ils soient... sans savoir qu'elle en fréquente un, tous les jours !"
popular_tv,34307,Shameless,2011-01-09,en,Drame | Comédie,Paul Abbott,TV-MA,8.164,3075,116.4657,"Pour les enfants Gallagher, la vie est tout sauf un long fleuve tranquille... Fiona, l'aînée, âgée de 20 ans, élève du mieux possible sa soeur et ses quatre frères. Leur mère, Monica, les a abandonnés pour refaire sa vie avec une femme. Quant à leur père, Frank, paumé, chômeur et alcoolique, il dilapide l'argent des allocations familiales..."
popular_tv,456,Les Simpson,1989-12-17,en,Familial | Animation | Comédie,Matt Groening,TV-PG,8.012,10429,142.0973,"Située à Springfield, ville américaine moyenne, la série se concentre sur les singeries et les aventures quotidiennes de la famille Simpson : Homer, Marge, Bart, Lisa et Maggie, ainsi que des milliers d'autres personnages."
popular_tv,549,New York Police Judiciaire,1990-09-13,en,Crime | Drame,Dick Wolf,TV-14,7.4,642,116.0987,"À New York, détectives et assistants du procureur tentent de résoudre les affaires les plus délicates. Les uns sur le terrain, les autres devant les tribunaux."
